"Trending Date",Country,"Category ID","Comment Count",Title,Likes,"Channel ID",Dislikes,"Publish Date","Video ID",Views
2018-05-04,Canada,25,1409,"Our World in 2018: DISTURBING VIDEO!",2537,7785,98,2018-05-04,zzVFyVNgtsc,51768
2018-05-05,Canada,25,2314,"Our World in 2018: DISTURBING VIDEO!",4606,7785,225,2018-05-04,zzVFyVNgtsc,142083
2018-05-13,"Great Britain",24,2584,"Chris Chan: A Comprehensive History - Part 10",3725,6337,63,2018-05-12,ZzStPviPY90,61449
2018-05-16,"Great Britain",24,3404,"Chris Chan: A Comprehensive History - Part 10",4668,6337,98,2018-05-12,ZzStPviPY90,108042
2018-05-17,"Great Britain",24,3524,"Chris Chan: A Comprehensive History - Part 10",4783,6337,102,2018-05-12,ZzStPviPY90,115051
2018-05-18,"Great Britain",24,3568,"Chris Chan: A Comprehensive History - Part 10",4857,6337,104,2018-05-12,ZzStPviPY90,119891
2018-05-19,"Great Britain",24,3634,"Chris Chan: A Comprehensive History - Part 10",4912,6336,106,2018-05-12,ZzStPviPY90,123929
2018-05-20,"Great Britain",24,3667,"Chris Chan: A Comprehensive History - Part 10",4960,6336,110,2018-05-12,ZzStPviPY90,127761
2018-05-21,"Great Britain",24,3700,"Chris Chan: A Comprehensive History - Part 10",5014,6337,111,2018-05-12,ZzStPviPY90,131837
2018-05-27,"Great Britain",24,3905,"Chris Chan: A Comprehensive History - Part 10",5246,6337,117,2018-05-12,ZzStPviPY90,148901
2018-05-28,"Great Britain",24,3920,"Chris Chan: A Comprehensive History - Part 10",5278,6337,117,2018-05-12,ZzStPviPY90,151780
2018-05-29,"Great Britain",24,3952,"Chris Chan: A Comprehensive History - Part 10",5312,6337,118,2018-05-12,ZzStPviPY90,154129
2018-05-30,"Great Britain",24,4008,"Chris Chan: A Comprehensive History - Part 10",5349,6337,119,2018-05-12,ZzStPviPY90,156082
2018-05-31,"Great Britain",24,4047,"Chris Chan: A Comprehensive History - Part 10",5379,6337,120,2018-05-12,ZzStPviPY90,158621
2018-04-15,Canada,25,2489,"Trump orders strike on Syria",1299,10260,945,2018-04-14,ZZoF-ZHERTY,483251
2018-04-07,Denmark,25,116,"6. April 2018 - Bundespressekonferenz - RegPK",113,14424,14,2018-04-06,zZb4egM02RI,6644
2018-05-25,India,23,6292,"BYN : Under 25",108347,2656,1200,2018-05-24,zZ9cPmJ_v4w,1107579
2018-05-26,India,23,7134,"BYN : Under 25",131783,2656,1723,2018-05-24,zZ9cPmJ_v4w,1679925
2018-05-27,India,23,7436,"BYN : Under 25",139375,2656,1897,2018-05-24,zZ9cPmJ_v4w,1895759
2018-05-28,India,23,7529,"BYN : Under 25",142947,2656,1975,2018-05-24,zZ9cPmJ_v4w,2013522
2018-05-29,India,23,7647,"BYN : Under 25",145476,2656,2035,2018-05-24,zZ9cPmJ_v4w,2103668
2018-04-14,Denmark,10,830,"SARAH - Genau hier (Official Video)",13008,12707,960,2018-04-12,ZZ6ZhLQJ9tk,211187
2018-04-15,Denmark,10,947,"SARAH - Genau hier (Official Video)",17020,12707,1245,2018-04-12,ZZ6ZhLQJ9tk,346473
2018-04-23,Canada,24,1526,"Most Hilarious Tweets Of 2018",11897,12349,139,2018-04-22,zz2vrPorALM,215621
2018-05-01,Denmark,22,162,"#MasterChefGR - trailer Î¤ÏÎ¯Ï„Î· 1.5.2018",524,10055,12,2018-04-30,zY8BXo688Gc,48065
2018-04-07,Canada,27,296,"How Cruise Ships Work",3760,11957,288,2018-04-06,ZY1BFv8qEeM,143843
2018-04-27,Canada,23,4036,"The Struggles of Grinding",42677,7378,512,2018-04-26,zy_df28N7WE,346095
2018-05-22,Canada,28,1037,"MASSIVE GADGET UNBOXING!!",9319,7380,219,2018-05-21,zXXxZmwpPnc,172102
2018-05-02,US,22,26692,"kanye west / charlamagne interview",88905,8360,7526,2018-05-01,zxwfDlhJIpw,3134765
2018-05-03,US,22,39155,"kanye west / charlamagne interview",131430,8360,14405,2018-05-01,zxwfDlhJIpw,5434079
2018-05-04,US,22,43326,"kanye west / charlamagne interview",146981,8360,16815,2018-05-01,zxwfDlhJIpw,6501880
2018-05-05,US,22,45109,"kanye west / charlamagne interview",153667,8360,17804,2018-05-01,zxwfDlhJIpw,7105747
2018-05-06,US,22,46149,"kanye west / charlamagne interview",157118,8360,18312,2018-05-01,zxwfDlhJIpw,7457592
